Zip,City,Zhvi
92683,Westminster,618300
92677,Laguna Niguel,801900
92804,Anaheim,546900
92627,Costa Mesa,714200
90631,La Habra,567600
92646,Huntington Beach,777300
92647,Huntington Beach,710700
92630,Lake Forest,680000
92648,Huntington Beach,888900
92620,Irvine,872300
92704,Santa Ana,526600
92626,Costa Mesa,762500
92656,Aliso Viejo,591700
92708,Fountain Valley,775800
92805,Anaheim,521900
92801,Anaheim,521400
92780,Tustin,651700
92692,Mission Viejo,708500
90630,Cypress,648600
92870,Placentia,667700
92691,Mission Viejo,692500
92672,San Clemente,868500
92886,Yorba Linda,802700
92688,Rancho Santa Margarita,629600
92833,Fullerton,569200
92618,Irvine,730900
92660,Newport Beach,1703600
90740,Seal Beach,920800
92840,Garden Grove,558200
92649,Huntington Beach,761000
92705,North Tustin,889700
92821,Brea,674200
92707,Santa Ana,491700
92703,Santa Ana,506000
92867,Orange,692600
90620,Buena Park,558000
92612,Irvine,658100
92831,Fullerton,627800
92629,Dana Point,901000
92806,Anaheim,614300
92807,Anaheim,692800
92637,Laguna Woods,363600
92701,Santa Ana,462600
92802,Anaheim,553800
92869,Orange,714100
92675,San Juan Capistrano,690700
92843,Garden Grove,540100
90621,Buena Park,536400
92782,Tustin,723100
92673,San Clemente,892200
92653,Laguna Hills,762300
92679,Coto de Caza,872200
92602,Irvine,871700
92706,Santa Ana,623300
92614,Irvine,670800
92604,Irvine,724500
90680,Stanton,479400
92694,Ladera Ranch,783200
92841,Garden Grove,590200
92835,Fullerton,767300
90720,Los Alamitos,934100
92832,Fullerton,521200
92606,Irvine,797900
92868,Orange,515000
92603,Irvine,1201000
92808,Anaheim,742500
92887,Yorba Linda,879300
92625,Newport Beach,1819700
92865,Orange,633400
92844,Garden Grove,538600
92866,Orange,627400
92845,Garden Grove,643500
90623,La Palma,731600
92657,Newport Coast,2473700
92610,Lake Forest,723800
92624,San Clemente,868800
92655,Westminster,612000
92861,Villa Park,1372200
92823,Brea,798300
92676,Silverado,652700
